year,season,trophic_level,offspring_size,age_maturity,fecundity,l_inf,k,max_obs_length,length_maturity,PC1,PC2,PC3
1970,FALL,4.06484835279812,77.2380708936055,5.83429427269548,1325037.33360625,99.1386741448194,0.182096872284772,100.831141085592,46.786487843192,-2.43182874160925,0.0111019063000627,-0.0126330814048463
1970,SPRING,4.10209461064517,66.6236001246314,5.41404030626996,1733921.48230159,93.9359715110318,0.175087677920142,103.224825480441,45.263666243337,-2.32651074109404,0.260949285884115,-0.0576659511462487
1971,FALL,4.00768450023902,57.5430654632545,5.51168673775583,1384819.81939481,91.2871272833442,0.192281203882225,94.9948102121786,43.5940170450745,-2.13332895113668,0.262208392140309,0.11967529408513
1971,SPRING,3.97542168903773,69.3004249313013,6.12641380184835,1063580.16120094,89.4294347666381,0.160313147156116,94.2283287635223,43.5648667528243,-2.33713338933355,-0.0813057350188791,0.222905411465352
1972,FALL,4.08800545032175,87.5012642906196,6.03498849777443,1341610.49329524,97.2806517172465,0.161736335672862,102.967003190621,48.006527291242,-2.56287086621547,-0.0541251092040546,-0.0142015886663576
1972,SPRING,4.09098227133233,109.489510748002,6.64819544992021,948187.90050885,99.866845036778,0.15045877131563,104.979864534458,49.7860884773244,-2.86308605303201,-0.491515661478662,-0.0344197177526151
1973,FALL,4.09807122609126,94.1581993251869,5.70752076122213,1273700.46367695,99.6068206755723,0.185302342311658,104.296744229736,48.8801408938781,-2.52675751403432,-0.168901649341183,-0.147834624765505
1973,SPRING,4.09546756628499,79.5063423094385,5.82342431784907,1242601.33231288,95.9188891399354,0.163909579094258,101.453715470638,46.4384145508131,-2.49320628221233,0.0548820583642513,-0.0147387854855082
1974,FALL,4.02512047299692,69.4156032851005,5.08102960097419,1306082.23912072,94.5809280381662,0.198057096841952,96.5023579636027,44.2944753021326,-2.08279567617942,0.182280630190605,-0.0152619947041593
1974,SPRING,4.11936403078548,97.527434105539,6.24750717485913,1164182.9932866,101.431486603029,0.150674029463169,107.32939404143,49.0848403846633,-2.77960225017926,-0.21173119653789,-0.0624056394122307
1975,FALL,4.00677416423115,75.1999354781442,5.13842055513882,1077706.16816447,88.9574681998221,0.196611173558704,94.2821253454616,42.8885696173453,-2.05862127690133,0.0517007919917048,0.0029873411872809
1975,SPRING,4.13286272217767,89.4443989670251,5.98318098346132,1407980.62541665,96.8319657487613,0.153157660684607,104.656503230302,47.7457761268756,-2.62763781706789,-0.0247485843077608,-0.0817222979541889
1976,FALL,4.09082418878056,83.5006388246302,5.02557394532845,1206155.28113939,96.4705804986669,0.192191682100188,104.537268821796,46.8940946012852,-2.28947712375894,0.0726892159901401,-0.162571506983182
1976,SPRING,4.13719099469627,91.315590552382,6.04227915730107,1392948.41718976,100.669779153518,0.153549497781027,109.416088665893,48.6761989345562,-2.68567852809772,-0.015518110500947,-0.075209225942656
1977,FALL,4.02097529348308,49.1242220101634,4.60924943348368,1291979.8727736,89.0316772190162,0.210856826777736,93.2008403223598,42.0528659294687,-1.85503007666875,0.462070496935164,-0.0234990682981314
1977,SPRING,4.08304098738319,71.5249909428268,5.7067063167286,1151139.12003719,92.4570724618548,0.169789058001825,100.315176340677,44.3390008912051,-2.36586162876934,0.157765214530194,0.0141113146478003
1978,FALL,4.08432305344803,65.8613148481983,5.4701625778728,1314903.20462626,94.7379019315196,0.185852369885849,99.5863000777241,45.0177015450004,-2.27268595839711,0.289361355673714,-0.0265520509057914
1978,SPRING,4.13486881432685,83.2984810993552,6.02054792721513,1188368.28045951,96.5797145582916,0.160341979591153,105.137911196085,47.6842820076962,-2.61619446154644,0.0135522634260602,-0.0826503878321447
1979,FALL,4.12058869227316,97.6503673857962,5.90340764601207,1045068.81836271,99.196159999992,0.184305664765406,103.266006465202,48.7328897711702,-2.55901697193031,-0.216062306243824,-0.187054226700003
1979,SPRING,4.03303131670136,42.2824281254104,5.5173844746171,1346807.62933444,90.5606354909063,0.182887302805453,100.967932294609,42.7296173250548,-2.13347009047357,0.541277563103443,0.173912720824592
1980,FALL,4.04854889639758,69.3521186896389,5.41938833471827,1288941.34278364,92.7285711084371,0.201283819538674,97.5042977614609,44.771665721744,-2.1261606147015,0.210770542246902,-0.0117324937343206
1980,SPRING,4.12497794994937,90.6841668155163,6.03683110862755,1236406.51033925,97.1360056713911,0.158238602354484,106.957734766282,47.9353025501679,-2.65650465918594,-0.0893609304943431,-0.0802775291206217
1981,FALL,4.11927868893578,91.9751342818219,5.904348026129,1040925.41206096,97.5586840765801,0.182575220458755,106.470439697848,48.2073322120289,-2.56813010186642,-0.186036987136453,-0.161826572908882
1981,SPRING,4.13930195043057,106.286737000543,6.15004513040638,1244835.79617769,99.6691020887037,0.15346763802826,108.632277165477,49.4306792273502,-2.78671098871011,-0.243259662044174,-0.131651085600118
1982,FALL,4.10323172183939,96.3084566981114,5.94120873481449,847427.58192817,97.9832381928625,0.187236569217697,104.641417633386,50.1658982131904,-2.55699078540183,-0.342511725889529,-0.180935695783416
1982,SPRING,4.22737789237649,137.693267664917,7.10347145026882,1053749.45172329,110.410308476721,0.125996478306041,117.299947777038,55.6030212229608,-3.40257600445941,-0.70679982294242,-0.262880739440174
1983,FALL,4.15838249393883,116.578277458245,6.21645215244311,666249.37672765,97.8996259122253,0.191080927509441,101.402910333379,50.4319589731391,-2.71255247144302,-0.653006552709556,-0.358850696102937
1983,SPRING,4.15071043370883,83.1081110367729,6.74340919117067,960289.98868383,102.299121432583,0.150047701948269,108.853377081112,50.0228237349281,-2.8887074621094,-0.255371474851907,-0.0865302604083504
1984,FALL,4.1454661669423,117.573006314751,6.32764311080642,790739.336156495,99.7184090823213,0.176422915370157,104.407365969585,50.8052136442121,-2.80636033565189,-0.612750205558337,-0.282574798327348
1984,SPRING,4.12126152913638,78.2374165719941,6.55782471630013,1184068.62614895,97.7702827199648,0.150427225194702,102.428609403693,48.8589914434598,-2.74204982676804,-0.197935752707161,-0.0552854585821744
1985,FALL,4.14570758466774,108.144572766187,6.22369017752905,815054.970211406,98.06421787497,0.189082645773582,101.000685378447,50.9961719726605,-2.67424912844197,-0.557323457181876,-0.315659729815287
1985,SPRING,4.20382507782358,109.153496357416,7.00753665912035,1078363.00064458,104.559770024957,0.14125379760673,110.502323679327,53.8735807409614,-3.15817693102305,-0.516018120326839,-0.215343561961529
1986,FALL,4.15631965398075,120.526801771464,6.42046910262066,788812.017317755,102.624647085911,0.17159379193424,106.241407519409,52.9589768716719,-2.87543921980207,-0.662250576808613,-0.29940671470569
1986,SPRING,4.10174469997369,79.8597147034876,6.34829714901271,1193704.12465298,95.5187443713995,0.156114130171614,100.916664279056,48.2448654793709,-2.64743663396205,-0.15265108369818,-0.020228348211769
1987,FALL,4.15467184579306,118.079020175401,6.49250989093242,835706.810150594,101.302247763275,0.158269641538516,107.022453735259,53.0851427906031,-2.94715475607992,-0.673523003128362,-0.258306560172054
1987,SPRING,4.20406379386516,130.471151426919,7.18830641301219,745953.181424099,104.896423266574,0.135857811149231,111.601803503365,54.7160868825394,-3.26406723726011,-0.819858487627785,-0.271563789163715
1988,FALL,4.21300399677304,140.562070167287,6.72467361509168,1028072.53726648,107.411090684743,0.140265270214127,114.746679627682,56.1289524846714,-3.25819406698743,-0.716603760734598,-0.307517050548433
1988,SPRING,4.16385219276312,132.373296900338,7.51607755516972,584129.498309587,103.027497895189,0.131435925661239,107.722642556271,54.5382713299372,-3.28934880709865,-1.02504366801312,-0.201613132428632
1989,FALL,3.97205162174465,308.327750002442,6.3999156957417,692600.428360683,211.516981681663,0.183710430957271,209.251861498889,114.221662901979,-3.14657527178081,-0.885668176745382,-0.0385571782194156
1989,SPRING,4.21141454789196,147.113713406781,7.28174268081951,715136.519656156,108.872124596587,0.128652386844036,114.745194650752,57.7429658807678,-3.46831708616589,-1.0560955439397,-0.32106267552649
1990,FALL,4.2293963893319,163.702192554422,7.27043590514991,582345.990291994,109.168531765562,0.142475857887559,116.440037747228,57.9658572557314,-3.48459732040214,-1.2074510672755,-0.420373618814026
1990,SPRING,4.25653628789962,165.356644433076,7.52546378901209,695246.629827518,111.05788156211,0.122088554743934,119.03597738037,58.6002673257013,-3.65334943466608,-1.20038273199052,-0.405624401965158
1991,FALL,4.222293598271,204.391246305285,7.28131502911218,380414.630477853,122.939157068968,0.135007917746798,130.209498577978,65.7730268232408,-3.6205129317754,-1.39351974004608,-0.442940809029525
1991,SPRING,4.19735222013735,123.109670074076,7.14044140331832,944361.438849864,105.36997262025,0.141547090901092,111.797851546046,54.8253076002256,-3.23155460790605,-0.735186951542772,-0.245114755945426
1992,FALL,4.14494833520952,134.633420274848,6.34497832713197,596363.099656885,98.1444566881362,0.166612732545135,105.047259811501,52.0143456547539,-2.884063792239,-0.876111729926015,-0.324195547203058
1992,SPRING,4.11243970700827,113.717327952127,6.40002991656349,1309176.61222199,98.4225061267569,0.145436102834632,106.759401991594,51.2849066528068,-2.85475884923664,-0.529387177639847,-0.12344668499434
1993,FALL,4.07464580541552,114.188964196778,5.88421148318517,647450.675088892,92.5254510858203,0.187280358474668,98.3181567158215,48.6983342215625,-2.55465278109368,-0.63103684870164,-0.207778018391892
1993,SPRING,4.13006502700937,131.166485462001,6.77611893934265,763905.716689069,100.570965745307,0.150067176039875,109.001164425184,52.7192121596468,-3.06038555424087,-0.818816085869776,-0.181549219506943
1994,FALL,4.1700967212437,149.727833604804,6.41249506650987,2015729.03271635,104.496827354863,0.179299966970206,109.737583762943,54.3855175901245,-2.99990827756625,-0.929872885263272,-0.403536495331972
1994,SPRING,4.2117277245072,153.305146311055,6.92323844842349,630872.263525155,104.869610388696,0.145647301402861,114.10903942069,54.9704819377981,-3.30917253360842,-0.991527276026379,-0.361398009803886
1995,FALL,4.13217289174373,141.025968624871,6.15105515193748,488972.254048751,98.9906169856705,0.179025205378863,107.597307202775,51.9207990338219,-2.87436762983369,-0.91372282843053,-0.347644267099923
1995,SPRING,4.19405001713686,139.628659404474,6.76623371073715,874697.031167609,103.71511524149,0.147054107167849,112.949573691793,53.8230686566393,-3.18521337053658,-0.771858730176131,-0.277868873913558
1996,FALL,4.06628849473219,108.459509761651,5.57628516540777,614615.275338282,90.4192380419889,0.20477992441914,96.2231599125796,46.0802569611381,-2.34497243889343,-0.514612255311413,-0.228477966690778
1996,SPRING,4.16070430639653,133.523602691563,6.41386906902413,683092.934589408,99.1955881222291,0.157701664510531,108.264886789926,52.4317072346666,-2.98812667161488,-0.712476902845542,-0.27758872627334
1997,FALL,4.11491710018291,148.184643194452,6.33902641259656,519830.85241276,101.101634710054,0.180997068841265,107.908451010183,53.9550843868964,-2.84625531808942,-0.838624895670379,-0.27528589000974
1997,SPRING,4.08423744424264,120.939517629521,6.54176214041982,625389.354731274,93.131648500526,0.15881789007093,100.966464964017,49.0056462873708,-2.79900249461448,-0.699871986676602,-0.0916029041408822
1998,FALL,4.13261706616444,134.737956835669,6.13613253830599,476231.519985196,97.8220019538753,0.18310106872492,106.320643173316,51.7811048746256,-2.81287960026595,-0.876472471452307,-0.337519995258463
1998,SPRING,4.14633167897123,136.214197692082,6.69406092430467,660488.304251901,101.273630044421,0.151168871151027,111.283583602958,53.4044104413797,-3.09839484132759,-0.857947739529464,-0.227594653330119
1999,FALL,4.10254226076556,113.561282416917,5.80355229500739,522589.141366796,93.507940733675,0.18390133959269,98.6986994717431,47.9086877526998,-2.5210488537807,-0.54158688736531,-0.266564612532724
